Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3085,4142
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6760,7664
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1859,2479
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3073,3388
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,915,1134
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1532,1578
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,11591,16268
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),21631,22981
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,2436,2514
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,5336,5774
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8849,9160
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2742,3054
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3877,3877
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1195,1406
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1764,1764
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1195,2361
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4812,5994
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,297,489
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1160,1160
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,41,41
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,928,1295
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2823,3571
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Female-only (including Supernumerary),75,75
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,238,703
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),459,1252
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,315,474
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),684,684
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,6087,8343
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),13688,13761
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,1123,1311
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),2839,2839
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,2786,4014
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),5934,5934
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",SC,Gender-Neutral,2140,2370
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),2950,2950
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",ST,Gender-Neutral,1063,1070
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1581,1581
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,753,1067
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),3432,3432
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,397,397
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),1085,1085
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,742,1018
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),4453,4453
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OBC-NCL (PwD),Gender-Neutral,56,56
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",SC,Gender-Neutral,556,1147
